user_id,rollcall_score,class_activity,discipline,total_quizzes_avg,position
11237,15,13.51,9.95,7.17,C
16497,5,5.39,13.59,5.17,D
12281,12,12.25,14.0,13.89,D
12482,5,7.83,6.63,6.24,B
17489,7,14.04,7.21,9.11,B
19219,15,9.22,14.51,9.31,A
11111,10,6.99,12.58,13.54,D
13818,7,14.09,12.44,8.24,F
10122,13,10.96,5.22,12.84,C
13601,7,10.36,13.03,13.88,F
6098,13,11.0,6.65,11.72,C
4740,11,8.41,11.93,11.0,D
11631,8,8.72,9.7,10.57,E
85,14,10.2,9.35,5.12,A
7818,8,7.17,5.76,11.4,E
17817,5,10.53,5.33,7.14,B
4105,5,5.52,11.73,12.97,F
15309,7,6.62,7.26,5.41,E
11306,14,14.84,7.78,12.35,E
12792,11,5.19,10.11,11.46,A
16629,13,8.91,8.51,5.72,C
13300,13,8.1,12.19,12.19,A
651,8,5.03,12.0,10.09,D
763,12,8.38,14.68,10.71,A
10997,11,11.07,8.21,12.74,E
16005,10,10.43,9.39,12.14,E
16682,7,10.87,5.8,9.96,B
452,12,9.32,5.4,13.47,C
14342,8,10.91,13.89,12.5,F
4688,11,11.74,13.94,7.03,D
10107,13,11.64,10.63,14.03,C
19864,15,5.78,12.93,8.54,A
14719,12,6.03,10.0,10.51,A
2027,5,12.47,11.53,13.02,B
13223,7,7.41,14.59,12.03,D
17965,11,7.89,6.8,10.64,C
139,14,10.28,14.25,5.74,A
16541,5,12.62,6.97,10.76,B
12975,13,12.66,10.41,5.59,D
3180,8,6.8,8.26,9.83,E
18870,14,7.65,14.52,13.15,A
5647,14,14.95,13.9,9.52,D
17100,5,7.48,14.68,7.97,F
16399,8,8.91,5.83,14.53,E
12343,8,10.64,10.52,12.73,F
1291,5,5.65,8.86,5.0,F
4018,5,12.69,8.94,6.13,B
10506,5,13.22,8.48,11.33,B
11035,9,12.06,5.42,13.43,B
14007,15,5.05,12.17,13.01,A
2089,6,13.96,14.43,8.72,F
2232,7,9.26,14.69,13.36,F
19744,5,7.48,7.84,12.57,B
10809,13,10.28,9.16,7.99,C
15673,13,8.48,14.13,7.57,A
2557,15,5.93,9.66,7.96,A
5987,6,13.44,14.86,8.69,F
8565,5,7.97,9.96,14.29,F
4546,14,6.31,11.29,7.28,A
9268,15,10.67,5.89,13.73,C
18736,15,9.5,8.11,6.17,A
2071,6,8.12,9.71,12.32,F
17834,11,6.66,9.88,14.38,C
8184,11,5.92,13.17,14.8,A
7708,5,12.21,12.04,11.3,B
11038,15,5.25,5.67,14.15,A
3856,9,9.44,6.56,9.87,E
1734,11,5.09,6.78,12.05,C
8395,12,10.06,11.94,10.24,D
12434,9,9.34,14.68,11.37,D
9881,6,14.02,12.62,14.96,B
5466,15,14.33,12.18,7.82,D
905,9,9.67,11.19,13.13,E
16542,10,13.99,12.18,11.12,F
16175,10,8.14,13.35,8.81,D
14245,15,12.53,5.3,9.22,C
14525,5,12.95,12.37,5.45,F
16810,5,11.89,9.64,8.28,B
2724,5,14.79,13.27,9.21,B
4843,9,8.43,7.85,7.91,E
3278,15,7.98,5.4,7.86,A
6221,9,13.73,14.41,5.62,F
10815,15,11.68,10.01,13.22,C
11353,12,5.16,9.49,10.28,A
8332,11,11.4,6.37,5.31,E
1122,9,12.76,7.04,14.05,B
16193,12,11.26,12.63,10.27,D
11051,14,12.3,9.83,14.9,C
12077,14,5.44,6.45,10.08,A
9118,9,11.81,14.93,9.05,D
2271,12,5.95,14.6,11.58,A
19123,11,9.39,14.79,14.51,D
11561,9,7.41,5.03,14.89,E
18540,10,10.08,5.66,8.71,E
18819,13,9.37,6.74,10.89,C
8069,12,8.71,10.99,14.28,C
15548,8,14.55,5.75,12.09,B
7109,6,8.77,6.53,8.31,B
10017,9,8.49,12.68,12.85,D
934,13,10.79,11.71,9.88,D
7631,11,14.8,11.06,8.07,F
10152,6,7.16,11.21,11.83,F
13583,7,6.05,10.34,9.22,D
19709,5,9.72,12.41,9.75,F
1073,11,5.89,7.33,10.06,C
10820,15,10.06,12.69,10.94,A
14705,8,13.36,10.13,11.93,F
8390,9,14.86,7.72,10.67,B
16838,8,11.56,14.9,14.7,F
15712,11,14.55,12.89,10.18,F
1059,5,13.64,10.45,14.43,B
19822,7,5.38,10.32,9.36,D
5609,10,10.83,7.89,11.72,E
6045,12,9.74,9.64,9.31,C
3552,8,8.74,11.65,5.46,D
3302,12,9.34,10.74,7.96,D
13812,7,8.01,12.0,13.81,F
7873,13,7.87,13.75,10.92,A
1532,7,7.66,6.94,13.78,E
344,11,7.43,8.97,10.36,C
14286,14,12.73,9.73,9.77,C
1271,10,8.81,10.85,8.44,D
15523,11,7.46,6.57,5.96,C
1564,7,13.48,8.93,11.35,B
19395,5,5.24,7.13,14.04,E
14100,11,11.75,9.06,12.3,E
10910,12,10.51,10.05,13.07,C
12608,11,12.57,12.43,8.48,D
563,14,9.97,14.76,7.19,A
765,12,13.18,6.0,13.99,E
6274,5,5.0,10.38,11.77,F
11267,11,14.23,6.8,9.15,E
14876,10,6.08,9.8,11.2,C
7071,14,12.96,14.04,13.28,D
7406,12,5.9,13.68,5.87,A
14672,8,12.79,13.23,7.09,F
2560,13,9.71,7.04,8.99,C
12096,11,5.53,7.68,8.75,C
51,11,13.93,10.39,7.27,F
489,7,9.48,5.84,13.64,B
8612,10,8.63,14.8,5.23,D
10921,8,11.78,12.43,6.63,F
8284,8,8.03,12.33,5.35,D
6152,7,14.17,8.33,14.26,B
13363,10,14.75,11.77,11.27,F
6588,5,9.79,13.14,7.74,F
31,6,6.14,14.0,8.69,D
6913,15,13.97,5.6,5.46,C
19285,15,10.55,14.87,5.36,A
13075,10,14.96,13.83,10.88,F
7732,8,14.99,5.88,7.7,B
3583,7,9.08,5.99,7.38,B
1110,11,5.01,11.23,11.68,A
12392,6,13.91,11.68,5.95,F
14685,6,9.89,9.16,7.53,F
15653,14,12.83,8.33,6.11,C
16814,13,8.78,6.61,14.76,C
6304,10,7.49,12.03,6.04,D
2126,15,11.68,14.78,8.61,A
2482,7,7.92,11.46,5.48,D
10890,7,6.62,10.48,9.96,D
15397,8,6.99,14.94,11.92,D
4009,9,10.24,9.47,13.46,E
15231,7,8.56,6.25,7.91,E
17851,15,13.3,6.51,8.87,C
15066,5,8.32,6.26,14.9,B
3341,8,7.96,13.28,13.1,D
6653,14,10.88,7.42,5.62,C
12450,15,5.68,9.95,10.12,A
1389,7,6.86,13.97,11.75,D
17246,14,13.29,8.46,11.86,C
3509,13,5.01,7.59,13.74,A
19487,15,9.76,8.97,5.92,A
9197,7,13.55,5.21,5.49,B
7106,15,8.99,12.12,11.34,A
12274,9,10.99,11.93,8.26,D
13017,8,8.51,5.1,7.1,E
18433,5,13.03,13.19,7.76,F
688,5,7.26,13.31,11.49,F
9767,7,7.91,13.57,5.55,D
19244,14,5.28,5.02,11.15,A
14758,12,11.43,7.27,14.56,E
5458,9,6.8,12.17,11.39,D
2536,6,14.47,8.71,14.66,B
8229,9,13.15,9.27,5.06,F
13644,14,7.52,5.9,11.32,A
6831,9,5.17,11.31,6.96,D
18188,8,9.62,10.59,11.95,E
14560,10,12.33,12.17,5.24,D
8071,15,5.32,10.05,13.7,A
13518,5,10.11,10.46,9.91,B
13371,10,10.61,13.47,7.02,D
2842,9,10.45,6.15,10.75,E
3640,7,5.95,10.46,5.29,D
10164,7,10.18,8.41,14.98,B
15852,7,12.71,12.74,13.28,F
15374,9,11.09,6.57,6.8,E
18947,9,6.03,8.74,8.04,D
10114,5,9.41,10.95,6.46,F
13229,8,8.85,14.66,13.97,D
19910,8,6.52,10.81,13.31,D
16326,11,10.92,6.14,10.19,E
5720,14,9.87,7.04,10.23,C
7107,10,9.16,5.29,10.91,E
17963,14,11.05,7.97,9.45,C
12303,15,13.73,7.33,14.05,C
9661,7,7.37,12.83,6.51,D
1781,13,13.98,14.41,5.19,D
11304,15,10.38,9.62,5.16,A
18659,13,14.25,14.78,8.04,D
3206,12,12.98,8.33,9.17,E
3401,5,11.45,5.17,7.28,B
10330,14,14.3,5.89,10.45,E
5640,7,13.15,5.22,9.83,B
18671,8,12.54,8.22,13.99,B
16939,13,10.3,13.37,11.52,D
10760,9,8.51,8.33,11.09,E
2903,9,14.78,7.86,10.48,B
19095,12,8.76,13.7,6.37,A
19783,5,12.49,8.8,6.13,B
18137,12,8.5,9.71,11.54,C
18122,7,14.29,6.3,8.05,B
11185,8,12.83,12.62,7.68,F
609,14,11.35,12.58,10.99,A
8782,7,12.63,8.37,6.82,B
3371,13,8.24,9.27,7.93,A
17149,9,11.92,6.31,8.6,E
16341,8,12.58,10.31,13.19,F
14880,14,11.99,5.68,5.44,C
10168,9,5.94,10.0,6.93,D
8509,12,11.48,11.96,7.76,D
9064,6,14.89,13.92,13.08,B
9718,11,8.01,5.62,7.25,C
6854,6,9.89,9.68,13.83,B
14612,13,6.18,9.02,13.65,A
12226,9,7.64,14.94,9.01,D
8949,15,10.18,5.2,6.11,C
14110,8,7.73,6.41,12.54,E
9619,12,5.66,9.01,5.12,A
9410,10,10.62,6.35,10.46,E
12277,7,5.81,11.12,11.61,D
14045,7,9.67,13.99,10.26,F
2028,8,9.47,12.25,9.33,F
10332,10,7.03,6.12,9.4,C
5689,15,11.57,14.76,6.7,A
1882,5,11.1,5.48,11.27,B
18176,15,13.24,14.05,9.68,A
18859,12,5.75,7.0,9.64,C
16221,14,7.53,14.47,8.45,A
789,13,13.19,12.28,6.39,D
15783,8,14.17,11.34,7.01,F
15098,12,7.31,5.94,7.73,C
6299,11,11.61,11.85,14.39,D
8124,10,8.09,12.3,12.55,D
19964,7,13.28,7.98,8.47,B
14388,12,12.72,12.8,13.69,D
5417,13,13.0,5.05,11.1,E
12465,8,14.33,10.36,10.69,F
9282,11,14.5,7.17,6.11,E
16371,9,9.87,7.5,11.62,E
12763,15,8.62,11.29,9.19,A
12456,7,12.08,10.52,14.32,B
12971,10,10.5,13.88,13.87,D
6933,12,9.16,5.54,14.24,C
330,6,8.17,9.97,9.94,F
7625,10,14.37,14.46,11.75,F
1154,11,13.93,11.42,12.79,E
11076,15,11.48,8.21,10.18,C
17572,12,7.07,7.28,8.05,C
1383,5,6.46,12.06,12.88,F
8930,8,11.04,9.94,13.74,E
17090,9,5.74,13.42,13.33,D
16924,15,5.01,9.87,6.54,A
5973,13,6.72,8.36,11.4,A
4100,8,13.61,14.47,11.54,F
3644,11,9.99,8.35,6.59,D
14617,12,13.25,6.71,5.54,E
11028,7,10.85,6.7,10.51,B
19939,14,8.72,14.01,11.09,A
12921,10,11.85,10.08,5.19,F
14263,13,14.93,5.44,8.42,E
6994,9,11.77,8.25,8.78,E
4013,5,7.27,5.03,14.43,B
12930,11,14.73,5.03,7.96,B
19651,12,9.3,7.55,5.39,C
17292,10,13.57,5.51,11.44,B
17364,11,9.12,5.83,9.68,C
17510,5,7.33,13.0,8.21,F
8923,5,10.61,14.3,14.32,F
15814,15,9.1,5.67,9.51,C
6282,10,5.28,11.43,11.38,C
8302,15,11.65,13.36,13.07,A
14525,15,8.84,13.51,12.71,A
7665,9,11.72,12.65,9.82,F
12754,10,7.7,8.61,10.18,C
3596,7,13.46,10.65,6.7,F
15952,15,7.09,8.79,9.43,A
6347,11,6.3,6.15,13.5,C
9581,9,8.38,9.93,7.95,D
288,8,5.55,6.98,13.52,E
10443,14,8.48,14.92,14.11,A
2130,9,12.27,6.89,13.09,E
9139,8,5.79,9.8,9.64,D
6291,6,11.0,14.45,9.74,F
11022,5,7.3,5.5,9.52,B
2432,10,14.47,9.86,9.32,F
9419,14,13.59,6.59,10.5,C
16916,14,12.25,12.92,12.29,D
19138,9,12.23,14.67,5.93,D
3395,15,14.83,11.0,8.62,D
6531,6,8.91,6.94,8.4,B
19429,12,9.49,13.52,12.99,D
1533,6,14.22,13.98,9.19,F
14423,8,12.24,14.62,12.53,F
2173,15,8.21,11.32,13.02,A
7291,6,9.51,8.07,5.49,B
12221,9,9.37,5.22,11.04,E
18040,6,14.28,12.31,7.52,F
3922,13,14.03,7.55,10.18,E
1280,15,10.45,13.36,6.03,A
8890,12,8.38,13.82,6.58,A
17022,8,14.39,12.27,14.55,F
13186,13,11.95,6.4,14.17,C
5504,11,5.59,8.57,13.59,C
1392,13,12.85,10.14,13.62,C
3798,13,7.4,5.21,14.68,C
11378,7,8.24,8.55,5.65,F
1594,12,7.52,7.98,7.0,C
17928,14,7.19,7.38,14.09,A
4486,12,7.49,12.67,8.46,A
3805,12,5.85,7.02,10.59,C
7010,5,5.92,6.49,11.72,B
8831,6,13.48,11.95,7.23,F
8634,13,9.54,10.32,14.59,C
17221,13,10.61,6.06,5.13,C
13921,10,13.36,13.16,14.13,F
19852,10,8.04,12.17,14.23,D
16060,10,10.26,14.58,6.93,D
3450,14,11.94,8.88,13.35,C
1305,11,5.83,5.95,10.61,C
4170,9,7.08,14.32,12.17,D
10382,15,13.94,7.27,9.37,C
14388,15,14.34,8.71,12.52,C
15062,5,8.45,14.62,5.31,F
14387,15,14.71,8.93,8.78,C
13184,12,10.84,12.11,11.12,D
374,11,11.45,9.94,9.55,D
18389,9,7.52,11.64,14.05,D
217,10,13.9,10.55,9.13,F
2641,8,8.64,9.96,9.87,E
3187,13,14.85,8.96,5.61,E
7278,14,11.75,12.49,11.04,D
1027,8,8.86,12.58,9.51,D
10846,8,5.53,6.08,13.61,E
7502,9,6.45,7.53,11.78,C
15046,11,11.14,7.33,6.99,E
15376,8,14.07,14.62,11.5,F
14969,9,13.61,5.38,8.03,B
8833,8,14.18,7.45,8.55,B
15912,10,14.86,8.77,14.26,E
7536,6,9.46,13.06,11.22,F
15399,7,5.58,14.46,5.15,D
11005,13,5.73,6.74,10.58,A
13059,8,7.26,12.08,5.24,D
10321,6,7.64,8.61,9.53,F
7789,13,7.31,6.72,7.07,C
1918,11,9.66,5.41,13.89,E
17668,7,10.98,10.63,6.69,F
19543,6,11.1,14.71,7.01,F
11870,14,14.92,9.48,12.12,C
16639,9,12.11,11.75,5.74,F
614,5,10.71,9.17,5.61,B
17597,5,10.53,12.17,12.95,F
11858,12,14.78,7.57,5.76,E
16160,13,6.56,11.56,7.75,A
19172,9,13.69,6.58,13.84,B
5750,13,14.29,6.84,9.07,E
9676,7,6.75,8.6,12.51,E
10036,12,13.6,7.31,9.81,E
15970,14,6.92,11.01,6.96,A
374,13,11.99,5.78,10.93,C
14306,5,7.19,13.09,6.85,F
2550,11,14.72,11.71,9.87,F
3521,13,10.05,14.03,7.74,A
327,8,11.89,6.41,7.26,B
2980,6,6.27,6.2,12.75,E
19956,10,13.74,5.06,13.82,B
10022,6,5.42,5.22,12.69,E
12991,13,7.25,5.14,7.8,C
3438,10,6.56,5.95,9.15,C
17805,14,6.55,12.83,13.19,A
5660,7,8.99,9.65,10.0,F
8736,11,5.55,6.9,14.03,C
15295,9,10.55,11.59,10.3,D
11107,13,5.45,7.25,13.91,A
12321,14,7.28,7.8,12.32,A
15014,10,12.43,5.85,14.74,E
5240,7,14.65,12.26,10.79,F
13591,14,8.31,11.55,14.74,A
4247,11,8.74,7.58,7.05,C
19374,7,6.02,11.49,10.8,D
16575,9,13.37,7.54,9.81,E
16542,15,5.51,11.28,9.09,A
10253,7,14.18,8.86,13.13,B
3594,12,9.52,11.58,5.71,D
11860,8,10.38,14.83,13.26,F
7430,13,14.47,14.38,8.46,D
13836,7,8.98,5.49,10.43,B
3777,7,12.87,10.64,11.42,F
13806,5,9.35,8.41,9.46,B
19777,11,12.1,8.58,13.02,E
13532,5,11.14,12.91,6.09,F
10706,8,13.31,14.32,14.21,F
2174,14,11.0,9.7,8.94,C
11979,9,6.44,10.0,8.38,D
15547,7,5.82,14.09,13.12,D
18254,6,13.78,14.52,7.74,F
10008,10,12.24,11.67,14.94,E
2606,15,8.0,11.68,9.74,A
16687,13,5.94,8.02,14.27,A
14464,14,6.26,5.41,13.2,A
16173,10,13.22,12.85,8.06,F
14589,9,11.82,13.2,9.75,F
15943,9,10.55,6.81,11.05,E
5293,12,10.82,6.28,9.98,C
17688,7,9.33,10.26,10.55,F
3522,11,9.4,5.4,5.23,E
2053,9,6.19,9.33,7.88,D
16370,7,13.45,12.71,5.09,F
1420,13,7.55,8.1,7.29,A
7299,8,11.05,6.93,14.13,B
14572,10,5.27,14.2,11.18,A
5670,6,12.68,11.9,10.48,F
6529,10,11.29,6.37,5.64,E
8068,10,11.3,5.26,6.76,E
6934,5,14.48,7.74,8.79,B
10743,11,9.89,5.04,5.97,E
13640,12,14.65,11.46,6.89,D
10453,12,8.73,11.55,12.68,C
10923,10,11.32,5.26,9.07,E
4057,11,9.15,13.83,8.81,D
4761,13,11.74,12.59,14.41,D
14520,12,11.34,9.54,12.59,C
6251,9,13.93,5.14,8.54,B
19992,11,6.15,7.33,6.72,C
9995,9,8.02,6.44,12.95,E
687,5,7.53,6.55,10.39,B
17220,9,8.98,12.09,11.56,D
16859,9,7.84,10.88,12.5,D
17978,12,6.4,10.55,5.12,A
6787,7,14.32,8.44,13.51,B
10939,14,5.98,12.36,5.85,A
11238,8,6.23,9.94,12.46,D
5867,6,13.28,14.66,11.98,F
6077,13,8.64,9.99,8.78,A
18262,8,10.38,7.41,10.49,E
18584,10,14.67,7.21,5.12,B
14981,13,9.82,13.89,11.69,A
19991,8,12.5,5.48,9.26,B
