user_id,rollcall_score,class_activity,discipline,total_quizzes_avg
11237,15,13.51,9.95,7.17
16497,5,5.39,13.59,5.17
12281,12,12.25,14.0,13.89
12482,5,7.83,6.63,6.24
17489,7,14.04,7.21,9.11
19219,15,9.22,14.51,9.31
11111,10,6.99,12.58,13.54
13818,7,14.09,12.44,8.24
10122,13,10.96,5.22,12.84
13601,7,10.36,13.03,13.88
6098,13,11.0,6.65,11.72
4740,11,8.41,11.93,11.0
11631,8,8.72,9.7,10.57
85,14,10.2,9.35,5.12
7818,8,7.17,5.76,11.4
17817,5,10.53,5.33,7.14
4105,5,5.52,11.73,12.97
15309,7,6.62,7.26,5.41
11306,14,14.84,7.78,12.35
12792,11,5.19,10.11,11.46
16629,13,8.91,8.51,5.72
13300,13,8.1,12.19,12.19
651,8,5.03,12.0,10.09
763,12,8.38,14.68,10.71
10997,11,11.07,8.21,12.74
16005,10,10.43,9.39,12.14
16682,7,10.87,5.8,9.96
452,12,9.32,5.4,13.47
14342,8,10.91,13.89,12.5
4688,11,11.74,13.94,7.03
10107,13,11.64,10.63,14.03
19864,15,5.78,12.93,8.54
14719,12,6.03,10.0,10.51
2027,5,12.47,11.53,13.02
13223,7,7.41,14.59,12.03
17965,11,7.89,6.8,10.64
139,14,10.28,14.25,5.74
16541,5,12.62,6.97,10.76
12975,13,12.66,10.41,5.59
3180,8,6.8,8.26,9.83
18870,14,7.65,14.52,13.15
5647,14,14.95,13.9,9.52
17100,5,7.48,14.68,7.97
16399,8,8.91,5.83,14.53
12343,8,10.64,10.52,12.73
1291,5,5.65,8.86,5.0
4018,5,12.69,8.94,6.13
10506,5,13.22,8.48,11.33
11035,9,12.06,5.42,13.43
14007,15,5.05,12.17,13.01
2089,6,13.96,14.43,8.72
2232,7,9.26,14.69,13.36
19744,5,7.48,7.84,12.57
10809,13,10.28,9.16,7.99
15673,13,8.48,14.13,7.57
2557,15,5.93,9.66,7.96
5987,6,13.44,14.86,8.69
8565,5,7.97,9.96,14.29
4546,14,6.31,11.29,7.28
9268,15,10.67,5.89,13.73
18736,15,9.5,8.11,6.17
2071,6,8.12,9.71,12.32
17834,11,6.66,9.88,14.38
8184,11,5.92,13.17,14.8
7708,5,12.21,12.04,11.3
11038,15,5.25,5.67,14.15
3856,9,9.44,6.56,9.87
1734,11,5.09,6.78,12.05
8395,12,10.06,11.94,10.24
12434,9,9.34,14.68,11.37
9881,6,14.02,12.62,14.96
5466,15,14.33,12.18,7.82
905,9,9.67,11.19,13.13
16542,10,13.99,12.18,11.12
16175,10,8.14,13.35,8.81
14245,15,12.53,5.3,9.22
14525,5,12.95,12.37,5.45
16810,5,11.89,9.64,8.28
2724,5,14.79,13.27,9.21
4843,9,8.43,7.85,7.91
3278,15,7.98,5.4,7.86
6221,9,13.73,14.41,5.62
10815,15,11.68,10.01,13.22
11353,12,5.16,9.49,10.28
8332,11,11.4,6.37,5.31
1122,9,12.76,7.04,14.05
16193,12,11.26,12.63,10.27
11051,14,12.3,9.83,14.9
12077,14,5.44,6.45,10.08
9118,9,11.81,14.93,9.05
2271,12,5.95,14.6,11.58
19123,11,9.39,14.79,14.51
11561,9,7.41,5.03,14.89
18540,10,10.08,5.66,8.71
18819,13,9.37,6.74,10.89
8069,12,8.71,10.99,14.28
15548,8,14.55,5.75,12.09
7109,6,8.77,6.53,8.31
10017,9,8.49,12.68,12.85
934,13,10.79,11.71,9.88
7631,11,14.8,11.06,8.07
10152,6,7.16,11.21,11.83
13583,7,6.05,10.34,9.22
19709,5,9.72,12.41,9.75
1073,11,5.89,7.33,10.06
10820,15,10.06,12.69,10.94
14705,8,13.36,10.13,11.93
8390,9,14.86,7.72,10.67
16838,8,11.56,14.9,14.7
15712,11,14.55,12.89,10.18
1059,5,13.64,10.45,14.43
19822,7,5.38,10.32,9.36
5609,10,10.83,7.89,11.72
6045,12,9.74,9.64,9.31
3552,8,8.74,11.65,5.46
3302,12,9.34,10.74,7.96
13812,7,8.01,12.0,13.81
7873,13,7.87,13.75,10.92
1532,7,7.66,6.94,13.78
344,11,7.43,8.97,10.36
14286,14,12.73,9.73,9.77
1271,10,8.81,10.85,8.44
15523,11,7.46,6.57,5.96
1564,7,13.48,8.93,11.35
19395,5,5.24,7.13,14.04
14100,11,11.75,9.06,12.3
10910,12,10.51,10.05,13.07
