user_id,rollcall_score,class_activity,discipline,total_quizzes_avg,position
11237,15,13.51,9.95,7.17,C
16497,5,5.39,13.59,5.17,B
12281,12,12.25,14.0,13.89,B
12482,5,7.83,6.63,6.24,D
17489,7,14.04,7.21,9.11,E
19219,15,9.22,14.51,9.31,F
11111,10,6.99,12.58,13.54,B
13818,7,14.09,12.44,8.24,D
10122,13,10.96,5.22,12.84,E
13601,7,10.36,13.03,13.88,B
6098,13,11.0,6.65,11.72,E
4740,11,8.41,11.93,11.0,D
11631,8,8.72,9.7,10.57,D
85,14,10.2,9.35,5.12,C
7818,8,7.17,5.76,11.4,A
17817,5,10.53,5.33,7.14,E
4105,5,5.52,11.73,12.97,B
15309,7,6.62,7.26,5.41,D
11306,14,14.84,7.78,12.35,E
12792,11,5.19,10.11,11.46,B
16629,13,8.91,8.51,5.72,C
13300,13,8.1,12.19,12.19,F
651,8,5.03,12.0,10.09,B
763,12,8.38,14.68,10.71,F
10997,11,11.07,8.21,12.74,D
16005,10,10.43,9.39,12.14,D
16682,7,10.87,5.8,9.96,E
452,12,9.32,5.4,13.47,E
14342,8,10.91,13.89,12.5,B
4688,11,11.74,13.94,7.03,F
10107,13,11.64,10.63,14.03,D
19864,15,5.78,12.93,8.54,F
14719,12,6.03,10.0,10.51,F
2027,5,12.47,11.53,13.02,A
13223,7,7.41,14.59,12.03,B
17965,11,7.89,6.8,10.64,D
139,14,10.28,14.25,5.74,F
16541,5,12.62,6.97,10.76,A
12975,13,12.66,10.41,5.59,C
3180,8,6.8,8.26,9.83,D
18870,14,7.65,14.52,13.15,F
5647,14,14.95,13.9,9.52,C
17100,5,7.48,14.68,7.97,B
16399,8,8.91,5.83,14.53,A
12343,8,10.64,10.52,12.73,A
1291,5,5.65,8.86,5.0,D
4018,5,12.69,8.94,6.13,E
10506,5,13.22,8.48,11.33,A
11035,9,12.06,5.42,13.43,E
14007,15,5.05,12.17,13.01,F
2089,6,13.96,14.43,8.72,D
2232,7,9.26,14.69,13.36,B
19744,5,7.48,7.84,12.57,A
10809,13,10.28,9.16,7.99,C
15673,13,8.48,14.13,7.57,F
2557,15,5.93,9.66,7.96,F
5987,6,13.44,14.86,8.69,D
8565,5,7.97,9.96,14.29,A
4546,14,6.31,11.29,7.28,F
9268,15,10.67,5.89,13.73,E
18736,15,9.5,8.11,6.17,C
2071,6,8.12,9.71,12.32,A
17834,11,6.66,9.88,14.38,B
8184,11,5.92,13.17,14.8,B
7708,5,12.21,12.04,11.3,A
11038,15,5.25,5.67,14.15,D
3856,9,9.44,6.56,9.87,E
1734,11,5.09,6.78,12.05,D
8395,12,10.06,11.94,10.24,D
12434,9,9.34,14.68,11.37,B
9881,6,14.02,12.62,14.96,A
5466,15,14.33,12.18,7.82,C
905,9,9.67,11.19,13.13,B
16542,10,13.99,12.18,11.12,D
16175,10,8.14,13.35,8.81,F
14245,15,12.53,5.3,9.22,C
14525,5,12.95,12.37,5.45,D
16810,5,11.89,9.64,8.28,A
2724,5,14.79,13.27,9.21,A
4843,9,8.43,7.85,7.91,D
3278,15,7.98,5.4,7.86,C
6221,9,13.73,14.41,5.62,D
10815,15,11.68,10.01,13.22,D
11353,12,5.16,9.49,10.28,F
8332,11,11.4,6.37,5.31,C
1122,9,12.76,7.04,14.05,A
16193,12,11.26,12.63,10.27,D
11051,14,12.3,9.83,14.9,D
12077,14,5.44,6.45,10.08,F
9118,9,11.81,14.93,9.05,D
2271,12,5.95,14.6,11.58,B
19123,11,9.39,14.79,14.51,B
11561,9,7.41,5.03,14.89,A
18540,10,10.08,5.66,8.71,E
18819,13,9.37,6.74,10.89,D
8069,12,8.71,10.99,14.28,B
15548,8,14.55,5.75,12.09,E
7109,6,8.77,6.53,8.31,E
10017,9,8.49,12.68,12.85,B
934,13,10.79,11.71,9.88,D
