user_id,rollcall_score,class_activity,discipline,total_quizzes_avg,position
19207,10,13.66,5.99,6.16,C
10175,7,9.29,10.84,6.8,A
19303,5,11.71,6.32,12.02,F
17444,6,5.02,11.37,7.53,B
16907,6,7.54,11.15,12.37,A
14313,12,8.42,9.46,13.12,D
15787,10,10.54,7.69,14.68,C
6526,5,12.05,13.56,10.87,A
12908,8,9.55,9.34,10.69,C
8112,11,5.89,13.21,11.05,E
10550,6,6.22,12.09,7.3,B
17745,7,13.87,11.64,7.25,A
2448,11,5.3,14.25,7.64,E
7460,13,6.37,10.56,6.06,E
2339,12,9.19,9.62,9.55,D
11457,10,6.77,9.91,5.83,B
17061,11,5.02,11.65,12.17,E
15043,5,7.4,7.08,14.51,F
2495,9,11.87,13.18,8.58,B
17912,12,5.63,7.21,11.08,E
12183,5,13.62,5.25,10.7,F
11712,5,10.81,10.46,11.35,F
18781,8,6.1,8.87,10.39,D
11460,9,14.66,9.49,5.27,A
2062,15,10.58,7.32,12.75,D
4390,10,6.94,8.25,9.97,D
17277,12,11.75,7.61,9.29,D
11111,8,9.76,5.59,8.38,C
2994,8,10.72,11.04,5.86,A
19645,10,10.23,6.32,9.26,C
12095,7,14.04,10.87,12.99,F
12747,10,7.92,14.81,6.92,B
6411,12,11.9,14.98,6.58,B
11693,15,10.71,9.1,10.41,E
17350,12,14.96,6.14,8.36,C
19432,6,12.69,14.54,6.79,A
13391,14,13.85,6.23,6.21,D
19064,10,8.86,9.65,6.26,B
8621,12,9.12,6.82,7.6,D
1093,10,7.45,10.63,10.53,D
4593,9,9.93,11.82,5.07,B
14833,11,11.3,14.48,10.42,B
15661,12,12.35,11.58,13.82,B
8786,15,5.85,6.7,8.24,E
14249,13,10.83,6.31,5.52,D
13063,12,12.66,5.89,13.81,C
9859,5,10.34,14.83,7.16,A
677,6,13.59,14.45,7.47,A
19813,12,12.23,10.08,11.7,D
9317,15,10.93,5.27,11.41,D
5601,11,14.7,11.07,8.22,A
3715,11,13.72,7.04,8.8,C
4564,8,10.07,8.28,5.32,C
19883,6,8.12,5.58,11.26,F
5990,10,8.86,10.67,13.38,D
17986,5,13.96,11.05,14.31,F
18952,11,12.86,8.87,12.24,C
11500,8,12.8,6.28,14.69,F
6029,6,13.24,5.67,6.76,F
8022,11,7.22,9.59,14.22,D
15311,10,9.64,9.48,5.4,B
7416,14,8.9,13.82,9.73,E
4948,5,13.1,6.61,12.44,F
9508,13,12.73,6.06,5.32,D
10508,7,13.58,5.13,13.61,F
18089,7,5.18,8.27,10.67,C
13450,8,7.61,10.77,10.9,B
5068,9,11.38,12.61,9.45,B
18000,12,9.83,6.55,5.93,D
19304,8,6.24,14.41,8.19,B
6873,5,13.77,8.58,9.22,F
13243,8,12.4,5.79,10.5,F
9199,10,8.43,5.77,13.62,C
1088,5,5.92,7.45,12.75,C
1468,11,8.73,12.62,11.46,B
9757,15,14.27,6.17,13.71,D
16814,10,14.03,7.37,8.21,C
8720,11,12.07,8.83,8.56,C
11214,7,14.7,13.89,13.12,A
15102,14,7.62,11.52,10.25,E
4161,11,10.29,7.47,7.38,D
7754,13,5.57,6.52,8.41,E
2177,5,7.23,8.64,14.21,F
