id,time,total_quizzes_avg,class_activity,discipline,rollcall_score
12592,62bce9e4-11f5-11eb-aa67-ac7289d091ca,7.51,14.8,8.09,7
16000,631e321c-11f5-11eb-aa67-ac7289d091ca,13.76,9.72,6.27,5
10878,62595168-11f5-11eb-aa67-ac7289d091ca,14.9,14.05,13.27,8
5330,62f6cfe2-11f5-11eb-aa67-ac7289d091ca,5.99,11.81,10.31,12
5333,6328766e-11f5-11eb-aa67-ac7289d091ca,10.95,6.2,9.98,7
9186,6228db6e-11f5-11eb-aa67-ac7289d091ca,9.03,14.3,14.28,6
11609,62f47b3e-11f5-11eb-aa67-ac7289d091ca,11.3,13.9,11.86,5
19056,62653c1c-11f5-11eb-aa67-ac7289d091ca,9.49,10.49,7.26,5
1658,624ccaec-11f5-11eb-aa67-ac7289d091ca,10.27,14.11,8.14,11
1157,62ec2e98-11f5-11eb-aa67-ac7289d091ca,10.66,12.78,12.41,8
4664,632a830a-11f5-11eb-aa67-ac7289d091ca,8.11,8.96,12.89,7
1989,62ba14bc-11f5-11eb-aa67-ac7289d091ca,9.2,7.87,13.83,13
4396,62953264-11f5-11eb-aa67-ac7289d091ca,12.63,6.07,9.15,12
17929,62c2b9a0-11f5-11eb-aa67-ac7289d091ca,12.37,12.36,5.88,15
15778,62a3e232-11f5-11eb-aa67-ac7289d091ca,9.49,12.87,11.3,6
4348,62df8efe-11f5-11eb-aa67-ac7289d091ca,7.87,14.48,10.82,9
19043,62f62a7e-11f5-11eb-aa67-ac7289d091ca,8.45,12.77,9.11,13
13188,62b3f320-11f5-11eb-aa67-ac7289d091ca,6.25,11.97,9.32,7
2285,62e201e8-11f5-11eb-aa67-ac7289d091ca,13.56,6.91,14.28,7
7500,630f616a-11f5-11eb-aa67-ac7289d091ca,10.54,9.74,11.71,7
9299,62d3d1cc-11f5-11eb-aa67-ac7289d091ca,5.39,13.87,10.24,8
3892,6292f170-11f5-11eb-aa67-ac7289d091ca,9.98,14.92,14.25,8
9351,62a2dd56-11f5-11eb-aa67-ac7289d091ca,10.76,12.53,5.49,5
3900,63131698-11f5-11eb-aa67-ac7289d091ca,13.68,14.28,9.95,5
11453,630fff12-11f5-11eb-aa67-ac7289d091ca,11.5,8.03,13.12,5
9105,62367706-11f5-11eb-aa67-ac7289d091ca,11.21,10.09,5.22,10
10683,6263030c-11f5-11eb-aa67-ac7289d091ca,6.19,6.41,5.35,12
18425,62cd2f0c-11f5-11eb-aa67-ac7289d091ca,8.06,11.65,7.16,11
1220,631d9794-11f5-11eb-aa67-ac7289d091ca,14.22,6.48,8.18,8
537,6325d972-11f5-11eb-aa67-ac7289d091ca,13.21,5.26,8.54,11
5452,629251f2-11f5-11eb-aa67-ac7289d091ca,5.4,13.8,13.28,9
19797,62ee60e6-11f5-11eb-aa67-ac7289d091ca,12.54,5.28,6.79,10
6106,629a1888-11f5-11eb-aa67-ac7289d091ca,10.26,9.16,8.69,13
12433,6316fce0-11f5-11eb-aa67-ac7289d091ca,10.68,5.28,14.54,6
7893,62450faa-11f5-11eb-aa67-ac7289d091ca,10.3,9.63,13.13,15
1157,623889f6-11f5-11eb-aa67-ac7289d091ca,6.86,12.74,7.98,12
4657,62ac4490-11f5-11eb-aa67-ac7289d091ca,10.32,12.01,7.4,15
8117,62faa91e-11f5-11eb-aa67-ac7289d091ca,5.27,6.22,13.61,11
10824,631801bc-11f5-11eb-aa67-ac7289d091ca,14.1,12.32,11.36,10
3888,623c2426-11f5-11eb-aa67-ac7289d091ca,6.29,11.65,5.81,10
16533,62a48ae8-11f5-11eb-aa67-ac7289d091ca,10.23,7.3,9.6,9
12646,622ebfd4-11f5-11eb-aa67-ac7289d091ca,8.7,5.07,6.98,11
7484,630dfbe0-11f5-11eb-aa67-ac7289d091ca,11.47,7.18,7.51,10
12026,631b331e-11f5-11eb-aa67-ac7289d091ca,5.11,6.16,6.62,14
11857,6248d8d8-11f5-11eb-aa67-ac7289d091ca,9.91,14.93,10.2,12
7302,6305c196-11f5-11eb-aa67-ac7289d091ca,11.09,11.71,12.73,9
2064,628ff51a-11f5-11eb-aa67-ac7289d091ca,14.22,12.25,11.68,8
16951,62af101c-11f5-11eb-aa67-ac7289d091ca,7.42,13.83,9.73,14
14892,62baffda-11f5-11eb-aa67-ac7289d091ca,5.6,13.79,9.5,5
4304,6296b2e2-11f5-11eb-aa67-ac7289d091ca,13.27,9.7,12.94,15
1136,632c0eaa-11f5-11eb-aa67-ac7289d091ca,13.31,12.6,13.63,6
412,62fff586-11f5-11eb-aa67-ac7289d091ca,10.02,8.94,5.68,7
17294,62ddd064-11f5-11eb-aa67-ac7289d091ca,10.67,12.19,9.93,12
19723,630d4628-11f5-11eb-aa67-ac7289d091ca,12.14,8.35,5.94,11
13017,62d898ba-11f5-11eb-aa67-ac7289d091ca,6.2,10.44,7.92,6
12114,62e76dfe-11f5-11eb-aa67-ac7289d091ca,12.72,12.37,8.59,6
9313,62e8f00c-11f5-11eb-aa67-ac7289d091ca,8.57,10.43,10.97,7
3288,63109f3a-11f5-11eb-aa67-ac7289d091ca,7.73,12.64,6.54,11
14580,63227444-11f5-11eb-aa67-ac7289d091ca,13.51,10.56,8.92,15
15686,62c02564-11f5-11eb-aa67-ac7289d091ca,8.69,10.8,12.74,6
1161,624f60fe-11f5-11eb-aa67-ac7289d091ca,11.4,9.65,14.69,10
4969,62b91b7a-11f5-11eb-aa67-ac7289d091ca,11.01,9.03,7.03,15
4907,6267b8fc-11f5-11eb-aa67-ac7289d091ca,5.22,10.7,7.57,5
13883,6272373c-11f5-11eb-aa67-ac7289d091ca,5.15,12.87,13.88,8
11760,62e2d5aa-11f5-11eb-aa67-ac7289d091ca,9.2,9.23,7.02,13
7494,63079c0a-11f5-11eb-aa67-ac7289d091ca,9.93,8.48,11.96,12
12374,6311eca0-11f5-11eb-aa67-ac7289d091ca,8.52,12.09,12.27,6
17955,6239f7c8-11f5-11eb-aa67-ac7289d091ca,6.31,10.25,12.78,9
11687,629ac198-11f5-11eb-aa67-ac7289d091ca,8.64,9.54,14.23,14
5988,626ab3d6-11f5-11eb-aa67-ac7289d091ca,6.79,14.55,14.51,7
3776,62c111d6-11f5-11eb-aa67-ac7289d091ca,7.58,11.95,11.82,11
19396,626c079a-11f5-11eb-aa67-ac7289d091ca,13.99,11.23,6.35,15
2237,62885be8-11f5-11eb-aa67-ac7289d091ca,6.1,5.29,11.46,5
5381,62d7b0d0-11f5-11eb-aa67-ac7289d091ca,12.1,6.46,8.75,7
12104,63026eec-11f5-11eb-aa67-ac7289d091ca,6.96,5.21,9.87,8
19168,62caeaa8-11f5-11eb-aa67-ac7289d091ca,5.73,10.68,7.44,8
5957,6269f9be-11f5-11eb-aa67-ac7289d091ca,6.16,11.39,11.04,11
17567,62d167e8-11f5-11eb-aa67-ac7289d091ca,10.63,11.45,7.63,9
16471,62aff306-11f5-11eb-aa67-ac7289d091ca,8.89,12.67,6.25,12
18635,6308d138-11f5-11eb-aa67-ac7289d091ca,6.42,13.76,9.38,5
9262,629f8ebc-11f5-11eb-aa67-ac7289d091ca,5.94,12.2,7.79,7
12152,62a53574-11f5-11eb-aa67-ac7289d091ca,10.99,11.63,7.56,14
7639,625ff478-11f5-11eb-aa67-ac7289d091ca,6.54,11.1,13.63,10
11138,6318d5ba-11f5-11eb-aa67-ac7289d091ca,7.57,8.77,14.01,13
1975,6321ca26-11f5-11eb-aa67-ac7289d091ca,10.46,7.34,5.98,15
3113,6329d784-11f5-11eb-aa67-ac7289d091ca,8.09,14.52,7.66,12
