user_id,rollcall_score,class_activity,discipline,total_quizzes_avg
7210,15,5.82,6.92,13.26
2377,6,14.61,7.47,11.89
9186,6,14.3,14.28,9.03
16390,5,11.85,8.52,9.42
10836,8,5.72,6.42,11.19
6567,8,5.5,7.35,7.33
12238,5,8.11,13.63,11.08
2387,12,8.56,10.85,11.58
12646,11,5.07,6.98,8.7
18428,15,13.58,10.57,8.17
6779,10,10.16,6.47,10.46
11340,5,12.28,9.6,9.93
15366,8,8.22,10.37,7.75
11838,11,14.34,5.37,8.05
4767,7,6.25,13.09,13.95
4030,15,9.9,11.43,7.71
9105,10,10.09,5.22,11.21
7870,13,13.24,8.66,7.69
1157,12,12.74,7.98,6.86
17955,9,10.25,12.78,6.31
4411,6,8.71,10.46,13.72
3888,10,11.65,5.81,6.29
9418,13,6.82,7.36,14.66
140,11,11.17,8.23,12.44
6320,9,13.43,14.07,14.23
4938,10,9.3,6.7,13.01
19771,13,10.23,14.34,5.57
5467,14,5.59,14.41,12.59
7893,15,9.63,13.13,10.3
17631,10,9.35,5.58,9.83
18137,5,7.07,8.95,13.32
13249,6,12.11,12.29,8.26
11857,12,14.93,10.2,9.91
4771,15,9.17,10.45,11.84
16609,11,11.63,9.29,12.46
6955,6,13.46,8.38,7.67
13056,8,5.02,6.75,12.08
1658,11,14.11,8.14,10.27
16801,15,7.8,8.51,6.9
19537,10,13.47,8.62,8.93
1161,10,9.65,14.69,11.4
6023,11,6.47,5.22,5.28
5533,10,10.77,12.89,5.12
17309,13,9.29,11.4,10.26
9316,11,12.94,9.64,6.05
8562,10,13.62,14.53,6.4
3668,5,12.94,8.2,12.52
15221,9,5.87,11.52,7.72
14424,13,5.64,5.9,9.27
5830,9,5.58,5.55,6.56
9638,6,11.16,13.49,11.4
10878,8,14.05,13.27,14.9
617,12,12.23,6.65,5.9
1787,11,13.09,14.47,14.91
15666,8,13.31,8.07,10.99
2406,12,11.51,14.77,7.19
15194,8,13.19,13.71,12.55
17462,8,6.01,14.88,10.21
7639,10,11.1,13.63,6.54
6210,9,14.19,9.89,5.78
11502,8,14.85,11.36,9.49
10683,12,6.41,5.35,6.19
4043,10,12.41,11.43,12.17
16890,10,7.86,7.43,13.47
19056,5,10.49,7.26,9.49
12212,14,8.37,10.44,6.46
19697,5,8.21,14.11,11.97
4907,5,10.7,7.57,5.22
13493,11,7.79,11.36,13.49
5957,11,11.39,11.04,6.16
5988,7,14.55,14.51,6.79
19396,15,11.23,6.35,13.99
16920,8,5.62,14.49,8.55
2861,15,6.64,7.0,11.29
14228,13,12.3,12.63,9.99
7519,5,7.03,7.57,11.18
7052,14,7.03,11.17,14.43
6505,7,11.73,5.64,14.64
18413,11,12.97,7.83,10.64
13883,8,12.87,13.88,5.15
14233,6,8.4,6.99,11.69
10835,12,13.26,14.18,11.37
13184,12,10.75,5.18,6.92
6927,9,14.92,11.96,12.08
13,12,13.2,10.15,9.71
2237,5,5.29,11.46,6.1
6458,14,13.41,13.96,7.16
9946,9,8.98,9.83,13.25
17780,9,13.41,10.23,11.15
19911,14,10.41,14.15,12.03
2907,10,6.46,8.54,8.26
14442,14,11.0,7.43,8.24
1761,12,12.07,5.53,13.36
14922,10,12.21,9.85,11.05
13909,9,9.38,13.1,8.07
2064,8,12.25,11.68,14.22
19622,7,13.13,10.86,13.82
3597,6,7.17,13.91,11.55
5452,9,13.8,13.28,5.4
